label,value,place_type,state
Acrelândia,1200013,city,AC
Assis Brasil,1200054,city,AC
Brasiléia,1200104,city,AC
Bujari,1200138,city,AC
Capixaba,1200179,city,AC
Cruzeiro do Sul,1200203,city,AC
Epitaciolândia,1200252,city,AC
Feijó,1200302,city,AC
Jordão,1200328,city,AC
Mâncio Lima,1200336,city,AC
Manoel Urbano,1200344,city,AC
Marechal Thaumaturgo,1200351,city,AC
Plácido de Castro,1200385,city,AC
Porto Acre,1200807,city,AC
Porto Walter,1200393,city,AC
Rio Branco,1200401,city,AC
Rodrigues Alves,1200427,city,AC
Santa Rosa do Purus,1200435,city,AC
Senador Guiomard,1200450,city,AC
Sena Madureira,1200500,city,AC
Tarauacá,1200609,city,AC
Xapuri,1200708,city,AC
Abaíra,2900108,city,BA
Abaré,2900207,city,BA
Acajutiba,2900306,city,BA
Adustina,2900355,city,BA
Água Fria,2900405,city,BA
Aiquara,2900603,city,BA
Alagoinhas,2900702,city,BA
Alcobaça,2900801,city,BA
Almadina,2900900,city,BA
Amargosa,2901007,city,BA
Amélia Rodrigues,2901106,city,BA
América Dourada,2901155,city,BA
Anagé,2901205,city,BA
Andaraí,2901304,city,BA
Andorinha,2901353,city,BA
Angical,2901403,city,BA
Anguera,2901502,city,BA
Antas,2901601,city,BA
Antônio Cardoso,2901700,city,BA
Antônio Gonçalves,2901809,city,BA
Aporá,2901908,city,BA
Apuarema,2901957,city,BA
Araças,2902054,city,BA
Aracatu,2902005,city,BA
Araci,2902104,city,BA
Aramari,2902203,city,BA
Arataca,2902252,city,BA
Aratuípe,2902302,city,BA
Aurelino Leal,2902401,city,BA
Baianópolis,2902500,city,BA
Baixa Grande,2902609,city,BA
Banzaê,2902658,city,BA
Barra,2902708,city,BA
Barra da Estiva,2902807,city,BA
Barra do Choça,2902906,city,BA
Barra do Mendes,2903003,city,BA
Barra do Rocha,2903102,city,BA
Barreiras,2903201,city,BA
Barro Alto,2903235,city,BA
Barrocas,2903276,city,BA
Barro Preto,2903300,city,BA
Belmonte,2903409,city,BA
Belo Campo,2903508,city,BA
Biritinga,2903607,city,BA
Boa Nova,2903706,city,BA
Boa Vista do Tupim,2903805,city,BA
Bom Jesus da Lapa,2903904,city,BA
Bom Jesus da Serra,2903953,city,BA
Boninal,2904001,city,BA
Bonito,2904050,city,BA
Boquira,2904100,city,BA
Botuporã,2904209,city,BA
Brejões,2904308,city,BA
Brumado,2904605,city,BA
Buerarema,2904704,city,BA
Buritirama,2904753,city,BA
Caatiba,2904803,city,BA
Cabaceiras do Paraguaçu,2904852,city,BA
Cachoeira,2904902,city,BA
Caculé,2905008,city,BA
Caém,2905107,city,BA
Caetanos,2905156,city,BA
Caetité,2905206,city,BA
Cafarnaum,2905305,city,BA
Cairu,2905404,city,BA
Caldeirão Grande,2905503,city,BA
Camacan,2905602,city,BA
Camaçari,2905701,city,BA
Camamu,2905800,city,BA
Campo Alegre de Lourdes,2905909,city,BA
Campo Formoso,2906006,city,BA
Canarana,2906204,city,BA
Canavieiras,2906303,city,BA
Candeal,2906402,city,BA
Candeias,2906501,city,BA
Candiba,2906600,city,BA
Cândido Sales,2906709,city,BA
Cansanção,2906808,city,BA
Canudos,2906824,city,BA
Capela do Alto Alegre,2906857,city,BA
Capim Grosso,2906873,city,BA
Caraíbas,2906899,city,BA
Caravelas,2906907,city,BA
Cardeal da Silva,2907004,city,BA
Carinhanha,2907103,city,BA
Casa Nova,2907202,city,BA
Castro Alves,2907301,city,BA
Catolândia,2907400,city,BA
Catu,2907509,city,BA
Caturama,2907558,city,BA
Central,2907608,city,BA
Chorrochó,2907707,city,BA
Cícero Dantas,2907806,city,BA
Cipó,2907905,city,BA
Coaraci,2908002,city,BA
Cocos,2908101,city,BA
Conceição da Feira,2908200,city,BA
Conceição do Almeida,2908309,city,BA
Conceição do Coité,2908408,city,BA
Conceição do Jacuípe,2908507,city,BA
Conde,2908606,city,BA
Condeúba,2908705,city,BA
Contendas do Sincorá,2908804,city,BA
Coração de Maria,2908903,city,BA
Cordeiros,2909000,city,BA
Coribe,2909109,city,BA
Coronel João Sá,2909208,city,BA
Correntina,2909307,city,BA
Cotegipe,2909406,city,BA
Cravolândia,2909505,city,BA
Crisópolis,2909604,city,BA
Cristópolis,2909703,city,BA
Cruz das Almas,2909802,city,BA
Curaçá,2909901,city,BA
Dário Meira,2910008,city,BA
Dias d'Ávila,2910057,city,BA
Dom Basílio,2910107,city,BA
Dom Macedo Costa,2910206,city,BA
Elísio Medrado,2910305,city,BA
Encruzilhada,2910404,city,BA
Entre Rios,2910503,city,BA
Esplanada,2910602,city,BA
Euclides da Cunha,2910701,city,BA
Eunápolis,2910727,city,BA
Fátima,2910750,city,BA
Feira da Mata,2910776,city,BA
Feira de Santana,2910800,city,BA
Filadélfia,2910859,city,BA
Firmino Alves,2910909,city,BA
Floresta Azul,2911006,city,BA
Formosa do Rio Preto,2911105,city,BA
Gandu,2911204,city,BA
Gentio do Ouro,2911303,city,BA
Glória,2911402,city,BA
Gongogi,2911501,city,BA
Governador Mangabeira,2911600,city,BA
Guajeru,2911659,city,BA
Guanambi,2911709,city,BA
Guaratinga,2911808,city,BA
Heliópolis,2911857,city,BA
Iaçu,2911907,city,BA
Ibiassucê,2912004,city,BA
Ibicaraí,2912103,city,BA
